"","survival_50","survival_500","survival_pessimistic"
"Anas_melleri",1,1,1
"Anas_rubripes",1,1,1
"Anas_fulvigula",1,1,1
"Anas_platyrhynchos",1,1,1
"Anas_poecilorhyncha",1,1,1
"Anas_wyvilliana",1,1,1
"Anas_luzonica",1,1,1
"Anas_laysanensis",1,1,1
"Anas_erythrorhyncha",1,1,1
"Anas_bahamensis",1,1,1
"Anas_acuta",1,1,1
"Anas_georgica",1,1,1
"Anas_andium",1,1,1
"Anas_capensis",1,1,1
"Anas_chlorotis",1,1,1
"Anas_nesiotis",1,1,1
"Anas_aucklandica",1,1,1
"Anas_bernieri",1,1,1
"Anas_gibberifrons",1,1,1
"Anas_gracilis",1,1,1
"Anas_castanea",1,1,1
"Spatula_hottentota",1,1,1
"Spatula_platalea",1,1,1
"Spatula_rhynchotis",1,1,1
"Spatula_clypeata",1,1,1
"Spatula_smithii",1,1,1
"Spatula_cyanoptera",1,1,1
"Spatula_discors",1,1,1
"Spatula_querquedula",1,1,1
"Spatula_puna",1,1,1
"Spatula_versicolor",1,1,1
"Sibirionetta_formosa",1,1,1
"Tachyeres_leucocephalus",1,1,1
"Tachyeres_patachonicus",1,1,1
"Tachyeres_brachypterus",1,1,1
"Tachyeres_pteneres",1,1,1
"Lophonetta_specularioides",1,1,1
"Speculanas_specularis",1,1,1
"Amazonetta_brasiliensis",1,1,1
"Callonetta_leucophrys",1,1,1
"Salvadorina_waigiuensis",1,1,1
"Clangula_hyemalis",1,1,1
"Melanitta_nigra",1,1,1
"Melanitta_perspicillata",1,1,1
"Melanitta_fusca",1,1,1
"Lophodytes_cucullatus",1,1,1
"Mergus_octosetaceus",1,1,1
"Mergus_serrator",1,1,1
"Mergus_merganser",1,1,1
"Mergus_squamatus",1,1,1
"Mergellus_albellus",1,1,1
"Bucephala_albeola",1,1,1
"Bucephala_clangula",1,1,1
"Bucephala_islandica",1,1,1
"Polysticta_stelleri",1,1,1
"Somateria_mollissima",1,1,1
"Somateria_spectabilis",1,1,1
"Somateria_fischeri",1,1,1
"Histrionicus_histrionicus",1,1,1
"Chenonetta_jubata",1,1,1
"Sarkidiornis_melanotos",1,1,1
"Merganetta_armata",1,1,1
"Hymenolaimus_malacorhynchos",1,1,1
"Chloephaga_picta",1,1,1
"Chloephaga_poliocephala",1,1,1
"Chloephaga_hybrida",1,1,1
"Chloephaga_rubidiceps",1,1,1
"Chloephaga_melanoptera",1,1,1
"Neochen_jubata",1,1,1
"Tadorna_tadorna",1,1,1
"Tadorna_tadornoides",1,1,1
"Tadorna_variegata",1,1,1
"Tadorna_ferruginea",1,1,1
"Tadorna_cana",1,1,1
"Radjah_radjah",1,1,1
"Alopochen_aegyptiaca",1,1,1
"Cairina_moschata",1,1,1
"Aix_sponsa",1,1,1
"Aix_galericulata",1,1,1
"Marmaronetta_angustirostris",1,1,1
"Asarcornis_scutulata",1,1,1
"Netta_peposaca",1,1,1
"Netta_erythrophthalma",1,1,1
"Netta_rufina",1,1,1
"Aythya_americana",1,1,1
"Aythya_collaris",1,1,1
"Aythya_valisineria",1,1,1
"Aythya_ferina",1,1,1
"Aythya_affinis",1,1,1
"Aythya_marila",1,1,1
"Aythya_innotata",1,1,1
"Aythya_fuligula",1,1,1
"Aythya_nyroca",1,1,1
"Aythya_baeri",1,1,1
"Aythya_australis",1,1,1
"Aythya_novaeseelandiae",1,1,1
"Cyanochen_cyanoptera",1,1,1
"Pteronetta_hartlaubii",1,1,1
"Stictonetta_naevosa",1,1,1
"Biziura_lobata",1,1,1
"Plectropterus_gambensis",1,1,1
"Heteronetta_atricapilla",1,1,1
"Nettapus_coromandelianus",1,1,1
"Nettapus_pulchellus",1,1,1
"Nettapus_auritus",1,1,1
"Oxyura_vittata",1,1,1
"Oxyura_australis",1,1,1
"Oxyura_jamaicensis",1,1,1
"Oxyura_maccoa",1,1,1
"Oxyura_leucocephala",1,1,1
"Nomonyx_dominicus",1,1,1
"Eurypyga_helias",1,1,1
"Rhynochetos_jubatus",1,1,1
"Steatornis_caripensis",1,1,1
"Gactornis_enarratus",1,1,1
"Antrostomus_badius",1,1,1
"Eurostopodus_diabolicus",1,1,1
"Veles_binotatus",1,1,1
"Caprimulgus_atripennis",1,1,1
"Caprimulgus_concretus",1,1,1
"Caprimulgus_stellatus",1,1,1
"Lyncornis_macrotis",1,1,1
"Lyncornis_temminckii",1,1,1
"Antrostomus_sericocaudatus",1,1,1
"Caprimulgus_nubicus",1,1,1
"Eurostopodus_archboldi",1,1,1
