"species","survival","extinction"
"Avahi_unicolor",0.58,0.42
"Axis_axis",0.99995,5e-05
"Axis_calamianensis",0.58,0.42
"Axis_kuhlii",0.03,0.97
"Axis_porcinus",0.58,0.42
"Babyrousa_babyrussa",0.95,0.05
"Babyrousa_celebensis",0.95,0.05
"Babyrousa_togeanensis",0.58,0.42
"Baiomys_musculus",0.99995,5e-05
"Baiomys_taylori",0.99995,5e-05
"Baiyankamys_habbema",0.996,0.004
"Baiyankamys_shawmayeri",0.99995,5e-05
"Balaena_mysticetus",0.99995,5e-05
"Balaenoptera_acutorostrata",0.99995,5e-05
"Balaenoptera_bonaerensis",0.996,0.004
"Balaenoptera_borealis",0.58,0.42
"Balaenoptera_edeni",0.99995,5e-05
"Balaenoptera_musculus",0.58,0.42
"Balaenoptera_omurai",0.996,0.004
"Balaenoptera_physalus",0.95,0.05
"Balantiopteryx_infusca",0.95,0.05
"Balantiopteryx_io",0.95,0.05
"Balantiopteryx_plicata",0.99995,5e-05
"Balionycteris_maculata",0.99995,5e-05
"Bandicota_bengalensis",0.99995,5e-05
"Bandicota_indica",0.99995,5e-05
"Bandicota_savilei",0.99995,5e-05
"Barbastella_barbastellus",0.996,0.004
"Barbastella_beijingensis",0.996,0.004
"Barbastella_caspica",0.996,0.004
"Barbastella_darjelingensis",0.996,0.004
"Barbastella_leucomelas",0.99995,5e-05
"Bassaricyon_alleni",0.99995,5e-05
"Bassaricyon_gabbii",0.99995,5e-05
"Bassaricyon_medius",0.99995,5e-05
"Bassaricyon_neblina",0.996,0.004
"Bassariscus_astutus",0.99995,5e-05
"Bassariscus_sumichrasti",0.99995,5e-05
"Bathyergus_janetta",0.99995,5e-05
"Bathyergus_suillus",0.99995,5e-05
"Batomys_dentatus",0.996,0.004
"Batomys_granti",0.99995,5e-05
"Batomys_hamiguitan",0.996,0.004
"Batomys_russatus",0.58,0.42
"Batomys_salomonseni",0.99995,5e-05
"Batomys_uragon",0.99995,5e-05
"Bauerus_dubiaquercus",0.996,0.004
"Bdeogale_crassicauda",0.99995,5e-05
"Bdeogale_jacksoni",0.996,0.004
"Bdeogale_nigripes",0.99995,5e-05
"Bdeogale_omnivora",0.95,0.05
"Beamys_hindei",0.99995,5e-05
"Beamys_major",0.996,0.004
"Beatragus_hunteri",0.03,0.97
"Belomys_pearsonii",0.996,0.004
"Berardius_arnuxii",0.996,0.004
"Berardius_bairdii",0.996,0.004
"Berylmys_berdmorei",0.99995,5e-05
"Berylmys_bowersi",0.99995,5e-05
"Berylmys_mackenziei",0.996,0.004
"Berylmys_manipulus",0.996,0.004
"Bettongia_gaimardi",0.996,0.004
"Bettongia_lesueur",0.996,0.004
"Bettongia_penicillata",0.03,0.97
"Bettongia_tropica",0.58,0.42
