"","species","survival","extinction"
"416","Bassaricyon_medius",0.99995,5e-05
"417","Bassaricyon_neblina",0.996,0.004
"418","Bassariscus_astutus",0.99995,5e-05
"419","Bassariscus_sumichrasti",0.99995,5e-05
"420","Bathyergus_janetta",0.99995,5e-05
"421","Bathyergus_suillus",0.99995,5e-05
"422","Batomys_dentatus",0.996,0.004
"423","Batomys_granti",0.99995,5e-05
"424","Batomys_hamiguitan",0.996,0.004
"425","Batomys_russatus",0.58,0.42
"426","Batomys_salomonseni",0.99995,5e-05
"427","Batomys_uragon",0.99995,5e-05
"428","Bauerus_dubiaquercus",0.996,0.004
"429","Bdeogale_crassicauda",0.99995,5e-05
"430","Bdeogale_jacksoni",0.996,0.004
"431","Bdeogale_nigripes",0.99995,5e-05
"432","Bdeogale_omnivora",0.95,0.05
"433","Beamys_hindei",0.99995,5e-05
"434","Beamys_major",0.996,0.004
"435","Beatragus_hunteri",0.03,0.97
"436","Belomys_pearsonii",0.996,0.004
"437","Berardius_arnuxii",0.996,0.004
"438","Berardius_bairdii",0.996,0.004
"439","Berylmys_berdmorei",0.99995,5e-05
"440","Berylmys_bowersi",0.99995,5e-05
"441","Berylmys_mackenziei",0.996,0.004
"442","Berylmys_manipulus",0.996,0.004
"443","Bettongia_gaimardi",0.996,0.004
"444","Bettongia_lesueur",0.996,0.004
"445","Bettongia_penicillata",0.03,0.97
"446","Bettongia_tropica",0.58,0.42
"447","Bibimys_chacoensis",0.99995,5e-05
"448","Bibimys_labiosus",0.99995,5e-05
"449","Bibimys_torresi",0.95,0.05
"450","Bos_bison",0.996,0.004
"451","Bos_bonasus",0.95,0.05
"452","Biswamoyopterus_biswasi",0.03,0.97
"453","Biswamoyopterus_laoensis",0.996,0.004
"454","Blarina_brevicauda",0.99995,5e-05
"455","Blarina_carolinensis",0.99995,5e-05
"456","Blarina_hylophaga",0.99995,5e-05
"457","Blarinella_griselda",0.99995,5e-05
"458","Blarinella_quadraticauda",0.996,0.004
"459","Blarinella_wardi",0.99995,5e-05
"460","Blarinomys_breviceps",0.99995,5e-05
"461","Blastocerus_dichotomus",0.95,0.05
"462","Boneia_bidens",0.95,0.05
"463","Bos_frontalis",0.95,0.05
"464","Bos_grunniens",0.996,0.004
"465","Bos_javanicus",0.58,0.42
"466","Bos_mutus",0.95,0.05
