"species","survival","extinction"
"Phaethon_lepturus",0.8,0.2
"Rhynochetos_jubatus",0.1,0.9
"Eurypyga_helias",0.8,0.2
"Mesitornis_variegatus",0.2,0.8
"Mesitornis_unicolor",0.2,0.8
"Monias_benschi",0.2,0.8
"Columba_livia",0.8,0.2
"Columba_rupestris",0.8,0.2
"Columba_leuconota",0.8,0.2
"Columba_guinea",0.8,0.2
"Columba_albitorques",0.8,0.2
"Columba_oenas",0.8,0.2
"Columba_eversmanni",0.2,0.8
"Columba_oliviae",0.6,0.4
"Columba_palumbus",0.8,0.2
"Columba_trocaz",0.8,0.2
"Columba_bollii",0.8,0.2
"Columba_junoniae",0.6,0.4
"Columba_unicincta",0.8,0.2
"Columba_arquatrix",0.8,0.2
"Columba_sjostedti",0.8,0.2
"Columba_thomensis",0.1,0.9
"Columba_pollenii",0.6,0.4
"Columba_hodgsonii",0.8,0.2
"Columba_albinucha",0.6,0.4
"Columba_pulchricollis",0.8,0.2
"Columba_elphinstonii",0.2,0.8
"Columba_torringtoniae",0.2,0.8
"Columba_punicea",0.2,0.8
"Columba_argentina",0.01,0.99
"Columba_palumboides",0.6,0.4
"Columba_janthina",0.6,0.4
"Columba_vitiensis",0.8,0.2
"Columba_leucomela",0.8,0.2
"Columba_pallidiceps",0.2,0.8
"Columba_delegorguei",0.8,0.2
"Columba_iriditorques",0.8,0.2
"Columba_malherbii",0.6,0.4
"Aplopelia_larvata",0.8,0.2
"Streptopelia_turtur",0.2,0.8
"Streptopelia_lugens",0.8,0.2
"Streptopelia_hypopyrrha",0.8,0.2
"Streptopelia_orientalis",0.8,0.2
"Streptopelia_dusumieri",0.2,0.8
"Streptopelia_bitorquata",0.8,0.2
"Streptopelia_decaocto",0.8,0.2
"Streptopelia_xanthocycla",0.8,0.2
"Streptopelia_roseogrisea",0.8,0.2
"Streptopelia_reichenowi",0.6,0.4
"Streptopelia_decipiens",0.8,0.2
"Streptopelia_semitorquata",0.8,0.2
"Streptopelia_capicola",0.8,0.2
"Streptopelia_vinacea",0.8,0.2
"Streptopelia_tranquebarica",0.8,0.2
"Spilopelia_chinensis",0.8,0.2
"Spilopelia_suratensis",0.8,0.2
"Spilopelia_senegalensis",0.8,0.2
"Nesoenas_picturatus",0.8,0.2
"Nesoenas_mayeri",0.2,0.8
"Macropygia_unchall",0.8,0.2
"Macropygia_rufipennis",0.8,0.2
"Macropygia_emiliana",0.8,0.2
"Macropygia_tenuirostris",0.8,0.2
"Macropygia_macassariensis",0.8,0.2
"Macropygia_magna",0.8,0.2
"Macropygia_timorlaoensis",0.8,0.2
"Macropygia_amboinensis",0.8,0.2
"Macropygia_phasianella",0.8,0.2
"Macropygia_ruficeps",0.8,0.2
"Macropygia_nigrirostris",0.8,0.2
"Macropygia_mackinlayi",0.8,0.2
"Turacoena_manadensis",0.8,0.2
"Turacoena_sulaensis",0.8,0.2
"Turacoena_modesta",0.6,0.4
"Reinwardtoena_reinwardti",0.8,0.2
"Reinwardtoena_browni",0.6,0.4
"Reinwardtoena_crassirostris",0.6,0.4
"Patagioenas_leucocephala",0.6,0.4
"Patagioenas_squamosa",0.8,0.2
"Patagioenas_speciosa",0.8,0.2
"Patagioenas_corensis",0.8,0.2
"Patagioenas_picazuro",0.8,0.2
"Patagioenas_maculosa",0.8,0.2
"Patagioenas_albipennis",0.8,0.2
"Patagioenas_fasciata",0.8,0.2
"Patagioenas_albilinea",0.8,0.2
"Patagioenas_araucana",0.8,0.2
"Patagioenas_caribaea",0.2,0.8
"Patagioenas_cayennensis",0.8,0.2
"Patagioenas_flavirostris",0.8,0.2
"Patagioenas_oenops",0.2,0.8
"Patagioenas_inornata",0.6,0.4
"Patagioenas_plumbea",0.8,0.2
"Patagioenas_subvinacea",0.2,0.8
"Patagioenas_nigrirostris",0.8,0.2
"Patagioenas_goodsoni",0.8,0.2
"Geotrygon_purpurata",0.1,0.9
"Geotrygon_saphirina",0.8,0.2
"Geotrygon_versicolor",0.6,0.4
"Geotrygon_caniceps",0.2,0.8
"Geotrygon_leucometopia",0.1,0.9
"Geotrygon_montana",0.8,0.2
"Geotrygon_violacea",0.8,0.2
"Geotrygon_chrysia",0.8,0.2
"Geotrygon_mystacea",0.8,0.2
"Leptotrygon_veraguensis",0.8,0.2
"Leptotila_verreauxi",0.8,0.2
"Leptotila_jamaicensis",0.8,0.2
"Leptotila_cassinii",0.8,0.2
"Leptotila_conoveri",0.1,0.9
"Leptotila_ochraceiventris",0.2,0.8
"Leptotila_plumbeiceps",0.8,0.2
"Leptotila_battyi",0.2,0.8
"Leptotila_rufaxilla",0.8,0.2
"Leptotila_wellsi",0.01,0.99
"Leptotila_pallida",0.8,0.2
"Leptotila_megalura",0.8,0.2
"Zentrygon_carrikeri",0.1,0.9
"Zentrygon_costaricensis",0.8,0.2
