CatalogNumber,FullName,CommonName,Continent,Country,ProvinceStateTerritory,SeaGulf,CollectionDate,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,SampleType,PreparedDate,Preservation,StorageTemperature,AccessionNumber,image
CA000000724,Pongo pygmaeus abelii,,,,,,,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,abelii,Cell Culture,2017-10-30,,Liquid Nitrogen,2021_11_08_MFS,
CA000000725,Pongo pygmaeus abelii,,,,,,,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,abelii,Cell Culture,2018-03-07,,Liquid Nitrogen,2021_11_08_MFS,
CA000000726,Pongo pygmaeus abelii,,,,,,,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,abelii,Cell Culture,2017-11-14,,Liquid Nitrogen,2021_11_08_MFS,
CA000000727,Pongo pygmaeus abelii,,,,,,,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,abelii,Cell Culture,2018-03-07,,Liquid Nitrogen,2021_11_08_MFS,
CA000000728,Pongo pygmaeus abelii,,,,,,,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,abelii,Cell Culture,2018-03-07,,Liquid Nitrogen,2021_11_08_MFS,
CA000000729,Pongo pygmaeus abelii,,,,,,,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,abelii,Cell Culture,2018-03-07,,Liquid Nitrogen,2021_11_08_MFS,
CA000000730,Pongo pygmaeus abelii,,,,,,,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,abelii,Cell Culture,2018-03-07,,Liquid Nitrogen,2021_11_08_MFS,
CA000000731,Macropus eugenii,Tammar wallaby,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,eugenii,,Cell Culture,2003-09-12,,Liquid Nitrogen,2021_11_08_MFS,
CA000000732,Macropus eugenii,Tammar wallaby,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,eugenii,,Cell Culture,2003-09-12,,Liquid Nitrogen,2021_11_08_MFS,
CA000000733,Macropus eugenii,Tammar wallaby,,,,,,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,eugenii,,Cell Culture,2003-09-12,,Liquid Nitrogen,2021_11_08_MFS,
CA000000734,Chionomys nivalis,Snow vole,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Chionomys,nivalis,,Cell Culture,2007-07-26,,Liquid Nitrogen,2021_11_08_MFS,
CA000000735,Chionomys nivalis,Snow vole,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Chionomys,nivalis,,Cell Culture,2007-07-26,,Liquid Nitrogen,2021_11_08_MFS,
CA000000736,Chionomys nivalis,Snow vole,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Chionomys,nivalis,,Cell Culture,2007-07-26,,Liquid Nitrogen,2021_11_08_MFS,
CA000000737,Chionomys nivalis,Snow vole,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Chionomys,nivalis,,Cell Culture,2007-07-26,,Liquid Nitrogen,2021_11_08_MFS,
CA000000738,Chionomys nivalis,Snow vole,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Chionomys,nivalis,,Cell Culture,2007-07-26,,Liquid Nitrogen,2021_11_08_MFS,
CA000000739,Chionomys nivalis,Snow vole,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Chionomys,nivalis,,Cell Culture,2007-07-26,,Liquid Nitrogen,2021_11_08_MFS,
CA000000740,Cricetulus migratorius,Grey dwarf hamster,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,migratorius,,Cell Culture,2003-02-18,,Liquid Nitrogen,2021_11_08_MFS,
CA000000741,Cricetulus migratorius,Grey dwarf hamster,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,migratorius,,Cell Culture,2003-02-18,,Liquid Nitrogen,2021_11_08_MFS,
CA000000742,Cricetulus migratorius,Grey dwarf hamster,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,migratorius,,Cell Culture,2003-02-18,,Liquid Nitrogen,2021_11_08_MFS,
CA000000743,Gallus gallus domesticus,,,,,,,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,gallus,domesticus,Cell Culture,2018-02-06,,Liquid Nitrogen,2021_11_08_MFS,
CA000000744,Felis catus,Domestic Cat,,,,,,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,catus,,Cell Culture,2005-10-21,,Liquid Nitrogen,2021_11_08_MFS,
CA000000745,Ornithorhynchus anatinus,Platypus,,,,,,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,,Cell Culture,2005-10-21,,Liquid Nitrogen,2021_11_08_MFS,
CA000000746,Ornithorhynchus anatinus,Platypus,,,,,,Animalia,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,,Cell Culture,2005-10-21,,Liquid Nitrogen,2021_11_08_MFS,
CA000000747,Tamandua tetradactyla,Tree anteater,,,,,,Animalia,Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua,tetradactyla,,Cell Culture,2003-01-31,,Liquid Nitrogen,2021_11_08_MFS,
CA000000748,Sorex araneus,Common shrew,,,,,,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,araneus,,Cell Culture,2003-01-27,,Liquid Nitrogen,2021_11_08_MFS,
CA000000749,Dicrostonyx torquatus,Collared lemming,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,torquatus,,Cell Culture,2005-10-17,,Liquid Nitrogen,2021_11_08_MFS,
CA000000750,Dicrostonyx torquatus,Collared lemming,,,,,,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Dicrostonyx,torquatus,,Cell Culture,2005-10-17,,Liquid Nitrogen,2021_11_08_MFS,
CA000000751,Sorex araneus,Common shrew,,,,,,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,araneus,,Cell Culture,2005-10-14,,Liquid Nitrogen,2021_11_08_MFS,
CA000000752,Sorex araneus,Common shrew,,,,,,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,araneus,,Cell Culture,2005-10-14,,Liquid Nitrogen,2021_11_08_MFS,
CA000000753,Sorex araneus,Common shrew,,,,,,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,araneus,,Cell Culture,2005-10-14,,Liquid Nitrogen,2021_11_08_MFS,
CA000000754,Sorex araneus,Common shrew,,,,,,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Sorex,araneus,,Cell Culture,2005-10-14,,Liquid Nitrogen,2021_11_08_MFS,
CA000000755,Pantherophis guttatus,Corn snake,,,,,,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,guttatus,,Cell Culture,2008-07-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000756,Pantherophis guttatus,Corn snake,,,,,,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,guttatus,,Cell Culture,2008-07-14,,Liquid Nitrogen,2021_11_08_MFS,
CA000000757,Equus caballus,Horse,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,caballus,,Cell Culture,2004-10-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000758,Pantherophis guttatus,Corn snake,,,,,,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,guttatus,,Cell Culture,2008-07-11,,Liquid Nitrogen,2021_11_08_MFS,
CA000000759,Muntiacus reevesi,Chinese muntjac,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,reevesi,,Cell Culture,2000-11-07,,Liquid Nitrogen,2021_11_08_MFS,
CA000000760,Equus caballus,Horse,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,caballus,,Cell Culture,2004-10-10,,Liquid Nitrogen,2021_11_08_MFS,
CA000000761,Mazama gouazoubira,Brown brocket deer,,,,,,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,gouazoubira,,Cell Culture,1995-06-05,,Liquid Nitrogen,2021_11_08_MFS,
CA000000762,Equus caballus,Horse,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,caballus,,Cell Culture,2001-08-28,,Liquid Nitrogen,2021_11_08_MFS,
