"Common..Name","Species","IUCN..Bird..Red..List.2013","ADEPD.score","EDGE..score","Required.Expenditure..US..","Recent.Expenditure..US.."
"Rufous-­‐headed  Hornbill","Rhabdotorrhinus_waldeni","CR",4.01935,5.27014,11700000,227000
"Kiritimati  Reed-­‐warbler","Acrocephalus_aequinoctialis","EN",0.22537,3.16048,2460000,75000
"TahitiReed-­‐warbler","Acrocephalus_caffer","EN",0.27332,3.11996,1450000,3400
"Millerbird","Acrocephalus_familiaris","CR",0.72116,3.98234,2700000,1320000
"Aquatic  Warbler","Acrocephalus_paludicola","VU",0.25316,3.44313,330000000,31900000
"Purple-­‐backed  Sunbeam","Aglaeactis_aliciae","EN",1.47184,3.98658,612000,9500
"Raso  Lark","Alauda_razae","CR",1.6354,4.57759,514000,42000
"Chestnut-­‐bellied  Hummingbird","Amazilia_castaneiventris","EN",0.81087,3.55238,2140000,231000
"Black-­‐billed  Amazon","Amazona_agilis","VU",0.24148,3.04237,11400000,3240000
"Tucuman  Amazon  ","Amazona_tucumana","VU",0.10574,2.85307,4020000,211000
"Puerto  Rican  Amazon","Amazona_vittata","CR",1.1709,4.12403,27500000,17200000
"White-­‐throated  Grasswren","Amytornis_woodwardi","VU",0.12183,3.76683,15000000,10800000
"Ash-­‐breasted  Tit-­‐tyrant","Anairetes_alpinus","EN",1.21003,3.83951,8240000,992000
"Auckland  Islands  Teal","Anas_aucklandica","VU",0.02893,2.39253,5490000,0
"Brown  Teal","Anas_chlorotis","EN",0.14459,3.08953,1200000,3230000
"Hawaiian  Duck","Anas_wyvilliana","EN",0.56412,3.33374,9030000,260000
"Amani  Sunbird","Hedydipna_pallidigaster","EN",1.69546,4.24002,29800000,16500000
"Nilgiri  Pipit","Anthus_nilghiriensis","VU",0.16503,3.25948,4110000,10000
"Araripe  Manakin","Antilophia_bokermanni","CR",1.01678,4.40679,12400000,1470000
"Yellow-­‐throated  Apalis","Apalis_flavigularis","EN",1.24639,3.86622,9520000,1000000
"Taita  Apalis","Apalis_fuscigularis","CR",1.82498,4.56293,2930000,921000
"Masafuera  Rayadito","Aphrastura_masafucrae","CR",1.99158,4.79684,4140000,86000
"Southern  Brown  Kiwi","Apteryx_australis","VU",0.22485,4.26348,2330000,1480000
"Blue-­‐throated  Macaw","Ara_glaucogularis","CR",2.94924,4.52755,1250000,1270000
"Hainan  Partridge","Arborophila_ardens","VU",0.12538,3.12413,2710000,1440000
"Great  Indian  Bustard","Ardeotis_nigriceps","EN",1.26966,5.07401,11100000,1870000
"Long-­‐billed  Tailorbird","Artisornis_moreaui","CR",1.48871,4.70343,12300000,2260000
"Pale-­‐headed  Brush-­‐finch","Atlapetes_pallidiceps","EN",0.97326,3.59634,775000,373000
"Madagascar  Pochard","Aythya_innotata","CR",0.44433,3.85209,2740000,857000
"White-­‐bearded  Antshrike","Biatas_nigropectus","VU",0.18257,3.34327,662000000,16500000
"Dwarf  Olive  Ibis","Bostrychia_bocagei","CR",4.82401,5.52702,9440000,956000
"Australasian  Bittern","Botaurus_poiciloptilus","EN",2.33523,4.70586,13000000,932000
"Kittlitz's  Murrelet","Brachyramphus_brevirostris","CR",3.6651,5.05653,7800000,952000
"Grey-­‐cheeked  Parakeet","Brotogeris_pyrrhoptera","EN",1.17122,3.85902,10800000,104000
"Philippine  Cockatoo","Cacatua_haematuropygia","CR",4.66378,4.97623,2740000,870000
"Yellow-­‐crested  Cockatoo","Cacatua_sulphurea","CR",1.21083,4.60642,2550000,681000
"Mangrove  Finch","Geospiza_heliobates","CR",0.3102,3.54036,5690000,973000
"White-­‐mantled  Barbet","Capito_hypoleucus","EN",0.16376,3.3464,61700000,141000
"Bicknell's  Thrush","Catharus_bicknelli","VU",0.07072,2.94187,22500000,3320000
"Gunnison  Sage-­‐grouse","Centrocercus_minimus","EN",0.26027,3.63662,14100000,1290000
"Esmeraldas  Woodstar","Chaetocercus_berlepschi","EN",0.16158,2.99619,31200000,12500000
"St.  HelenaP  lover","Charadrius_sanctaehelenae","CR",4.55037,5.42525,5150000,968000
"Royal  Cinclodes","Cinclodes_aricomae","CR",1.05201,4.03896,7230000,872000
"White-­‐bellied  Cinclodes","Cinclodes_palliatus","CR",0.7931,3.96252,3020000,18000
"Abbott's  Starling","Poeoptera_femoralis","VU",0.33407,3.65362,22600000,1030000
"Reunion  Harrier","Circus_maillardi","EN",1.65951,4.06398,101000000,86500000
"Black  Harrier","Circus_maurus","VU",0.19589,3.40719,11200000,87000
"Apolinar's  Wren","Cistothorus_apolinari","EN",1.27839,4.0311,1900000,23000
"Golden  White-­‐eye","Cleptornis_marchei","CR",1.93796,4.43167,41000000,16900000
"Nilgiri  Wood-­‐pigeon","Columba_elphinstonii","VU",0.16896,4.74215,171000000,152000000
"Mariana  Crow","Corvus_kubaryi","CR",1.21646,4.2988,29000000,12800000
"Brown  Eared-­‐pheasant","Crossoptilon_mantchuricum","VU",0.0046,2.74141,12600000,6290000
"Malherbe's  Parakeet","Cyanoramphus_malherbi","CR",0.27379,3.91257,2940000,2340000
"Okinawa  Woodpecker","Dendrocopos_noguchii","CR",0.85831,4.20686,49700000,3670000
"Cebu  Flowerpecker","Dicaeum_quadricolor","CR",2.48594,4.92025,6300000,1010000
"Tooth-­‐billed  Pigeon","Didunculus_strigirostris","EN",9.75449,5.37124,695000,209000
"Amsterdam  Albatross","Diomedea_amsterdamensis","CR",0.64077,4.8218,712000,350000
"Chestnut-­‐bellied  Imperial-­‐pigeon","Ducula_brenchleyi","VU",0.19149,3.37688,10800000,1510000
"Bicoloured  Antvireo","Dysithamnus_occidentalis","VU",0.16796,3.26237,9310000,2680000
"Bahia  Tapaculo","Eleoscytalopus_psychopompus","CR",3.05993,5.26132,12100000,5490000
